ID,Review Date,Category,Title,IMDB Rating,RT Critics Rating,Moistmeter Rating,Genre
150,5/11/2019,Movies,Pokémon: Detective Pikachu,6.5,68,85,"Action, Adventure, Comedy"
151,5/18/2019,Movies,John Wick: Chapter 3 - Parabellum,7.4,89,95,"Action, Crime, Thriller"
152,5/25/2019,Movies,Aladdin,8,95,65,"Animation, Adventure, Comedy"
153,5/26/2019,Movies,Brightburn,6.1,57,70,"Drama, Horror, Mystery"
154,5/31/2019,Movies,Godzilla: King of the Monsters,6,42,30,"Action, Adventure, Fantasy"
155,6/2/2019,Movies,Ma,5.6,55,20,"Horror, Mystery, Thriller"
156,6/8/2019,Movies,Dark Phoenix,5.7,22,30,"Action, Adventure, Sci-Fi"
157,6/16/2019,Movies,Men In Black: International,5.6,23,25,"Action, Adventure, Comedy"
158,6/22/2019,Movies,Toy Story 4,7.7,97,90,"Animation, Adventure, Comedy"
159,6/24/2019,Movies,Child's Play,6.7,74,70,"Horror, Thriller"
160,6/30/2019,Movies,Annabelle Comes Home,5.9,64,50,"Horror, Mystery, Thriller"
161,7/3/2019,Movies,Spider-Man: Far From Home,7.4,91,90,"Action, Adventure, Comedy"
162,7/4/2019,Movies,Midsommar,7.1,83,25,"Drama, Horror, Mystery"
163,7/9/2019,TV Shows,Stranger Things,8.7,91,90,"Drama, Fantasy, Horror"
164,7/10/2019,TV Shows,One Punch Man,8.7,100,80,"Animation, Action, Comedy"
165,7/15/2019,Movies,Crawl,6.1,84,70,"Action, Adventure, Horror"
166,7/20/2019,Movies,The Lion King,8.5,92,50,"Animation, Adventure, Drama"
167,7/27/2019,Movies,Once Upon A Time In Hollywood,7.6,86,50,Drama
168,8/3/2019,TV Shows,The Boys,8.7,85,90,"Action, Comedy, Crime"
169,8/4/2019,Movies,Hobbs and Shaw,6.5,67,65,"Action, Adventure, Thriller"
170,8/10/2019,Movies,Dora and the Lost City of Gold,6.1,85,50,"Action, Adventure, Comedy"
171,8/10/2019,Movies,Scary Stories to Tell in the Dark,6.2,78,80,"Adventure, Horror, Mystery"
172,8/16/2019,Movies,The Angry Birds Movie 2,6.4,72,55,"Animation, Action, Adventure"
173,8/18/2019,Movies,Invader ZIM: Enter the Florpus,7.4,100,90,"Animation, Action, Adventure"
174,8/22/2019,Video Games,Remnant: From the Ashes,,,75,N/A
175,8/23/2019,Movies,Ready Or Not,6.9,89,70,"Action, Comedy, Horror"
176,9/7/2019,Movies,It Chapter Two,6.5,62,80,"Drama, Fantasy, Horror"
177,9/17/2019,Video Games,Borderlands 3,,,80,N/A
178,9/20/2019,Movies,Rambo: Last Blood,6.1,26,65,"Action, Crime, Thriller"
179,9/27/2019,Video Games,The Surge 2,,,80,"Documentary, Short"
180,9/28/2019,TV Shows,Demon Slayer,8.6,,90,"Horror, Comedy"
181,10/2/2019,Video Games,Code Vein,,,70,N/A
182,10/5/2019,Movies,Joker,8.4,69,95,"Crime, Drama, Thriller"
183,10/12/2019,Movies,El Camino,7.3,91,65,Drama
184,10/13/2019,Movies,Gemini Man,5.7,27,40,"Action, Sci-Fi, Thriller"
185,10/18/2019,Movies,Zombieland: Double Tap,6.7,68,60,N/A
186,10/19/2019,Movies,Maleficent: Mistress of Evil,6.6,39,70,"Adventure, Drama, Family"
187,10/28/2019,Video Games,Modern Warfare,,,70,"Short, Comedy"
188,11/2/2019,Movies,Terminator: Dark Fate,6.2,70,80,"Action, Adventure, Sci-Fi"
189,11/6/2019,Video Games,Luigi's Mansion 3,,,90,Family
190,11/9/2019,Movies,Parasite,8.5,99,95,"Drama, Thriller"
191,11/15/2019,Video Games,Death Stranding,,,60,"Crime, Drama"
192,11/19/2019,Video Games,Star Wars Jedi: Fallen Order,,,85,Documentary
193,11/22/2019,Video Games,Pokemon Sword and Shield,,,50,N/A
194,11/25/2019,Movies,Frozen 2,8.5,77,70,"Documentary, Family"
195,12/2/2019,Movies,Knives Out,7.9,97,90,"Comedy, Crime, Drama"
196,12/17/2019,TV Shows,Dr. Stone,8.1,,90,"Animation, Action, Adventure"
197,12/21/2019,Movies,Star Wars: The Rise of Skywalker,6.4,51,40,"Short, Action, Music"
198,12/29/2019,TV Shows,The Mandalorian,8.6,90,80,"Action, Adventure, Fantasy"
199,1/2/2020,TV Shows,Vinland Saga,8.8,100,90,"Animation, Action, Adventure"
200,1/12/2020,Movies,1917,8.2,88,90,"Action, Drama, History"
201,1/19/2020,Movies,Bad Boys for Life,6.5,75,60,"Action, Comedy, Crime"
202,1/21/2020,Video Games,Dragon Ball Z: Kakarot,,,65,N/A
203,1/26/2020,Movies,The Gentlemen,7.8,75,85,"Action, Crime"
